# Summary generated on 2024-04-28 21:12:40.461905 UTC
#  Unique trajectory;      Beginning      ;        Beginning          ;   IAU;  IAU;   Sol lon ;   App LST ;   RAgeo  ;   +/-  ;   DECgeo ;   +/-  ;  LAMgeo  ;   +/-  ;   BETgeo ;   +/-  ;    Vgeo  ;    +/- ;  LAMhel  ;   +/-  ;   BEThel ;   +/-  ;    Vhel  ;    +/- ;       a    ;   +/-  ;      e    ;   +/-  ;      i    ;   +/-  ;    peri   ;    +/-  ;    node   ;    +/-  ;     Pi    ;   +/-  ;      b    ;   +/-  ;      q    ;   +/-  ;      f    ;   +/-  ;      M    ;   +/-  ;       Q    ;   +/-  ;      n    ;   +/-  ;      T    ;   +/-  ; TisserandJ;   +/-  ;   RAapp  ;   +/-  ;   DECapp ;   +/-  ;  Azim +E ;   +/-  ;    Elev  ;   +/-  ;   Vinit  ;    +/- ;    Vavg  ;    +/- ;    LatBeg   ;   +/-  ;    LonBeg   ;   +/-  ;   HtBeg ;   +/-  ;    LatEnd   ;   +/-  ;    LonEnd   ;   +/-  ;   HtEnd ;   +/-  ; Duration;  Peak ;  Peak Ht;   F  ;  Mass kg;   Qc ; MedianFitErr; Beg in; End in;  Num;      Participating    
#      identifier   ;     Julian date     ;         UTC Time          ;    No; code;     deg   ;     deg   ;    deg   ;  sigma ;    deg   ;  sigma ;    deg   ;  sigma ;     deg  ;  sigma ;    km/s  ;   sigma;    deg   ;  sigma ;     deg  ;  sigma ;    km/s  ;   sigma;      AU    ;  sigma ;           ;  sigma ;    deg    ;  sigma ;     deg   ;   sigma ;     deg   ;   sigma ;    deg    ;  sigma ;    deg    ;  sigma ;     AU    ;  sigma ;    deg    ;  sigma ;     deg   ;  sigma ;      AU    ;  sigma ;   deg/day ;  sigma ;    years  ;  sigma ;           ;  sigma ;    deg   ;  sigma ;    deg   ;  sigma ; of N  deg;  sigma ;     deg  ;  sigma ;    km/s  ;   sigma;    km/s  ;   sigma;    +N deg   ;  sigma ;    +E deg   ;  sigma ;     km  ;  sigma ;    +N deg   ;  sigma ;    +E deg   ;  sigma ;     km  ;  sigma ;   sec   ; AbsMag;     km  ; param; tau=0.7%;  deg ;    arcsec   ;   FOV ;   FOV ; stat;         stations      
# ------------------; --------------------; --------------------------; -----; ----; ----------; ----------; ---------; -------; ---------; -------; ---------; -------; ---------; -------; ---------; -------; ---------; -------; ---------; -------; ---------; -------; -----------; -------; ----------; -------; ----------; -------; ----------; --------; ----------; --------; ----------; -------; ----------; -------; ----------; -------; ----------; -------; ----------; -------; -----------; -------; ----------; -------; ----------; -------; ----------; -------; ---------; -------; ---------; -------; ---------; -------; ---------; -------; ---------; -------; ---------; -------; ------------; -------; ------------; -------; --------; -------; ------------; -------; ------------; -------; --------; -------; --------; ------; --------; -----; --------; -----; ------------; ------; ------; ----; ----------------------
20240401000358_oBekc; 2460401.502764760517; 2024-04-01 00:03:58.875309;    -1;  ...;  11.423500; 186.782715; 193.06032;  0.1221;  +1.38674;  0.2657; 191.47254;  0.1217;  +6.43410;  0.2662;  24.10978;  0.0777; 139.64176;  0.0935;  +4.07419;  0.1678;  38.00049;  0.0703;    2.675983;  0.0455;   0.789883;  0.0033;   5.178006;  0.2119; 269.449283;   0.2668;  11.455703;   0.0014; 280.904986;  0.2675;  -5.177766;  0.2117;   0.562271;  0.0016; 270.517466;  0.2675; 350.047224;  0.2622;    4.789695;  0.0905;   0.225154;  0.0054;   4.377494;  0.1131;   2.820715;  0.0303; 193.75633;  0.1181;  +3.78039;  0.2491; 170.86537;  0.1663;  40.26052;  0.2446;  26.57817;  0.0706;  26.43715;  0.0419;    53.186892;  0.0002;    -4.060561;  0.0002;  97.0645;    0.03;    53.273249;  0.0002;    -4.083711;  0.0002;  88.7122;    0.02;     0.48;  +1.32;  90.2002; 0.822; 5.97e-05; 81.06;        39.13;   True;   True;    2; UK0042,UK008U
20240401000738_UEJs1; 2460401.505301262252; 2024-04-01 00:07:38.029059;    -1;  ...;  11.426003; 196.308948; 289.11430;  0.6519; +46.50370;  0.0787; 306.18148;  1.0941; +67.55527;  0.1682;  38.89485;  0.1548;  79.02137;  0.6740; +63.85188;  0.3664;  40.04489;  0.0891;    5.159067;  0.1788;   0.812402;  0.0072;  65.587830;  0.2414; 158.401532;   1.0321;  11.426733;   0.0000; 169.828265;  1.0320;  19.584096;  0.8787;   0.967832;  0.0031;  21.595116;  1.0321;   1.331653;  0.1589;    9.350302;  0.3553;   0.084110;  0.0055;  11.718105;  0.5843;   1.488650;  0.0433; 287.94636;  0.6321; +47.02205;  0.0801;  55.03689;  0.3702;  33.74603;  0.3135;  40.65136;  0.1487;  40.16634;  0.1957;    50.903719;  0.0004;     4.550297;  0.0004; 101.5324;    0.06;    50.814734;  0.0006;     4.349759;  0.0004;  89.8729;    0.07;     0.53;  +0.66;  98.0079; 0.302; 3.70e-05; 23.14;        43.89;   True;   True;    2; BE000D,NL0001
20240401001247_3Edjx; 2460401.508882770780; 2024-04-01 00:12:47.471395;    -1;  ...;  11.429538; 194.232280; 302.96600;  0.3348; +40.41965;  0.1599; 321.61673;  0.3417; +58.09708;  0.2412;  41.89889;  0.1264;  52.47881;  0.2949; +61.11780;  0.2838;  40.62055;  0.1173;    7.068303;  0.7019;   0.878688;  0.0088;  70.086932;  0.1421; 134.150172;   0.8510;  11.429960;   0.0000; 145.580131;  0.8510;  42.424388;  0.7259;   0.857466;  0.0042;  45.846838;  0.8510;   1.570329;  0.1865;   13.279139;  1.3999;   0.052448;  0.0056;  18.792014;  3.0074;   1.115268;  0.0563; 301.56755;  0.3249; +41.19895;  0.1463;  48.31078;  0.0968;  15.88409;  0.2705;  43.59682;  0.1222;  42.79293;  0.0178;    41.947383;  0.0001;     1.160484;  0.0002;  98.0253;    0.06;    41.832625;  0.0001;     0.988404;  0.0002;  92.5349;    0.05;     0.51;  +1.40;  97.1083; 0.167; 1.67e-05; 31.83;        43.80;   True;   True;    2; ES0001,ES000H
20240401001554_OvffJ; 2460401.511050022207; 2024-04-01 00:15:54.721919;    -1;  ...;  11.431676; 190.002623;  99.13230;  3.1399; +68.22306;  0.2433;  94.77137;  1.6383; +44.93656;  0.2930;  11.01889;  0.1574;  99.27705;  0.3232; +11.69956;  0.1888;  38.37174;  0.1252;    2.926250;  0.0843;   0.659097;  0.0105;  11.707714;  0.1863; 174.676493;   0.8741;  11.445827;   0.0003; 186.122320;  0.8739;   1.078752;  0.1530;   0.997567;  0.0006;   5.308171;  0.8739;   0.821200;  0.1953;    4.854932;  0.1681;   0.196896;  0.0095;   5.005734;  0.2118;   2.882877;  0.0530; 116.06500;  2.8782; +71.34670;  0.1617; 325.10904;  0.7244;  57.49876;  0.8258;  15.56941;  0.1095;  14.96248;  0.0821;    57.073710;  0.0014;    -3.831847;  0.0003;  90.9129;    0.17;    56.983981;  0.0013;    -3.717538;  0.0002;  71.5903;    0.11;     1.53;  +0.49;  77.6377; 0.687; 9.04e-04; 12.89;        85.09;   True;   True;    2; UK008R,UK009Q
20240401002737_B0MGk; 2460401.519186730031; 2024-04-01 00:27:37.733475;    -1;  ...;  11.439706; 197.154544; 264.21915;  0.6281; +38.79548;  1.0971; 260.36131;  1.3211; +62.03990;  1.0448;  43.20245;  0.3402; 133.31030;  1.6621; +71.40883;  0.9993;  40.25852;  0.5022;    5.731050;  7.3407;   0.831086;  0.0447;  74.057647;  1.1458; 201.380664;   0.7471;  11.439942;   0.0001; 212.820606;  0.7470; -20.520405;  0.7896;   0.968053;  0.0015; 338.616139;  0.7470; 358.879318;  0.3793;   10.494047; 14.6810;   0.071838;  0.0229;  13.719931; 46.9482;   1.228684;  0.2196; 263.81739;  0.6326; +39.04991;  1.0729;  77.98464;  0.8612;  43.19440;  1.0093;  44.81567;  0.3295;  45.12285;  1.0785;    51.470939;  0.0006;     0.382974;  0.0019; 104.3258;    0.09;    51.451644;  0.0004;     0.238513;  0.0016;  94.5527;    0.07;     0.32;  +0.15;  95.5674; 0.896; 2.55e-05; 41.89;        86.96;   True;   True;    2; BE000H,UK00B1
20240401003020_VPIXJ; 2460401.521072972100; 2024-04-01 00:30:20.704789;    -1;  ...;  11.441568; 199.056609; 174.82830;  0.2645;  +9.24599;  0.0641; 171.57822;  0.2267;  +6.43230;  0.1466;  15.84029;  0.2114; 123.57472;  0.2932;  +2.67477;  0.0869;  37.98622;  0.0964;    2.667426;  0.0547;   0.690901;  0.0080;   2.886058;  0.0989; 235.058299;   0.3385;  11.497806;   0.0021; 246.556105;  0.3365;  -2.365475;  0.0897;   0.824498;  0.0031; 304.884945;  0.3365; 351.671577;  0.2734;    4.510353;  0.1125;   0.226238;  0.0076;   4.356514;  0.1319;   2.984884;  0.0423; 177.93762;  0.1996; +12.31992;  0.0591; 218.41389;  0.3343;  55.49115;  0.0842;  19.21980;  0.1718;  18.51749;  0.1396;    41.488067;  0.0004;     1.604369;  0.0005;  91.2847;    0.05;    41.576509;  0.0005;     1.697656;  0.0001;  72.8387;    0.08;     1.21;  +1.01;  78.7894; 0.677; 3.16e-04; 33.54;        66.69;   True;   True;    2; ES000H,ES000T
20240401003120_aCoNz; 2460401.521764802746; 2024-04-01 00:31:20.478957;    -1;  ...;  11.442250; 124.521584; 175.55693;  0.3334;  -7.19449;  0.2082; 178.80092;  0.2942;  -8.36482;  0.2607;  18.42266;  0.0633; 128.52345;  0.0307;  -4.04238;  0.1289;  38.04466;  0.1094;    2.703249;  0.0630;   0.722246;  0.0062;   4.539404;  0.1446;  66.000389;   0.4914; 191.412017;   0.0009; 257.412407;  0.4909;   4.146245;  0.1254;   0.750838;  0.0020; 294.027781;  0.4909; 350.981437;  0.4234;    4.655660;  0.1240;   0.221756;  0.0086;   4.444570;  0.1523;   2.919007;  0.0456; 173.24415;  0.2947;  -2.61171;  0.2026; 124.45435;  0.3435;  24.43119;  0.1784;  21.75177;  0.0542;  20.94061;  0.0266;    47.281197;  0.0005;   -73.179947;  0.0002;  95.0718;    0.03;    47.351565;  0.0003;   -73.331127;  0.0003;  88.7064;    0.02;     0.72;  +0.88;  90.0594; 0.787; 1.66e-04; 88.37;        50.28;   True;   True;    3; CA000C,CA002U,CA0032
20240401003727_MwTmt; 2460401.526007614098; 2024-04-01 00:37:27.057858;    -1;  ...;  11.446438; 200.039112; 288.12344;  0.7517; +24.58143;  0.3639; 294.26596;  0.9027; +46.50408;  0.4709;  56.19103;  0.5521; 330.40846;  1.2340; +73.52979;  1.1175;  42.50448;  0.3754;  -28.522760; 3.4e+02;   1.033459;  0.0340; 100.984887;  0.7237; 155.712167;   1.6717;  11.445455;   0.0000; 167.157622;  1.6717;  23.814972;  1.6076;   0.954343;  0.0054;  24.284895;  1.6717;        nan;     nan;  -57.999864; 6.8e+02;   0.006470;  0.0109;        nan;     nan;  -0.415178;  0.1968; 287.70466;  0.7521; +24.96844;  0.3565;  72.25284;  0.1638;  18.00166;  0.7552;  57.59496;  0.5412;  53.10962;  0.1070;    41.825420;  0.0003;     0.778622;  0.0001; 109.9390;    0.19;    41.758552;  0.0005;     0.501113;  0.0006; 101.9967;    0.22;     0.52;  +0.88; 107.3018; 0.332; 1.64e-05; 10.89;        51.52;   True;   True;    2; ES0001,ES000H
20240401004220_UBdb2; 2460401.529405716807; 2024-04-01 00:42:20.653932;    -1;  ...;  11.449791; 196.718551; 219.76458;  0.1397; +20.08342;  0.3209; 209.86775;  0.2148; +33.64198;  0.2970;  36.80367;  0.0768; 156.28801;  0.1872; +30.26548;  0.2107;  40.45063;  0.1431;    6.369249;  0.4334;   0.924672;  0.0054;  45.376735;  0.1338; 274.704438;   0.8416;  11.452167;   0.0000; 286.156605;  0.8417; -45.181489;  0.1959;   0.479784;  0.0057; 265.291253;  0.8417; 357.510467;  0.3375;   12.258714;  0.8622;   0.061316;  0.0080;  16.074334;  1.5672;   1.408875;  0.0644; 220.11854;  0.1366; +20.63911;  0.3115; 140.45626;  0.2821;  54.28483;  0.2940;  38.55072;  0.0735;  37.18489;  0.0322;    51.318703;  0.0003;    -3.741449;  0.0002; 102.5644;    0.04;    51.382525;  0.0003;    -3.825755;  0.0003;  89.5769;    0.03;     0.43;  -1.00;  95.3452; 0.556; 1.70e-04; 74.75;        63.17;   True;   True;    5; UK0020,UK0024,UK004R,UK009D,UK00AP
20240401004249_YnYZp; 2460401.529735667165; 2024-04-01 00:42:49.161643;    -1;  ...;  11.450116; 127.139944;  68.64760;  0.0661; -13.55558;  0.1564;  64.36097;  0.1018; -35.11221;  0.1471;  10.76426;  0.0158;  92.47171;  0.0124;  -9.43200;  0.0289;  37.79217;  0.0288;    2.554265;  0.0161;   0.620912;  0.0024;   9.546469;  0.0292; 336.805841;   0.0601; 191.434906;   0.0000; 168.240747;  0.0601;  -3.745154;  0.0187;   0.968292;  0.0001;  23.207412;  0.0601;   4.345538;  0.0536;    4.140238;  0.0321;   0.241438;  0.0023;   4.082250;  0.0387;   3.120601;  0.0119;  77.67902;  0.0444;  -2.89783;  0.1160; 236.52309;  0.0745;  24.50249;  0.1016;  15.22049;  0.0110;  14.92275;  0.0143;    45.979817;  0.0002;   -73.440744;  0.0005;  88.5946;    0.05;    46.098193;  0.0001;   -73.182858;  0.0002;  77.5934;    0.02;     1.78;  +0.00;  80.6198; 0.725; 9.23e-04; 89.83;        59.09;   True;   True;    4; CA0020,CA0027,CA002G,CA002U
